CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Parent_Org_ONS_Code,Org_Code,Org_Name,Org_ONS_Code,Expected_delivery_time,Indicator,Unit,Value,Data_Notes
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Within two weeks,Letters_sent_LA,Number,5192,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Within two weeks,Letters_sent_LA,%,99.2544446568533,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EB,Hartlepool,E06000001,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Over three weeks,Letters_sent_LA,Number,6,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Over three weeks,Letters_sent_LA,%,0.07996801279488,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Two to three weeks,Letters_sent_LA,Number,94,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Two to three weeks,Letters_sent_LA,%,1.25283220045315,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Within two weeks,Letters_sent_LA,Number,7403,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Within two weeks,Letters_sent_LA,%,98.6671997867519,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EC,Middlesbrough,E06000002,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Over three weeks,Letters_sent_LA,Number,24,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Over three weeks,Letters_sent_LA,%,0.32266738370529,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Two to three weeks,Letters_sent_LA,Number,88,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Two to three weeks,Letters_sent_LA,%,1.18311374025275,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Within two weeks,Letters_sent_LA,Number,7326,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Within two weeks,Letters_sent_LA,%,98.4942188760419,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EE,Redcar and Cleveland,E06000003,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Over three weeks,Letters_sent_LA,Number,7,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Over three weeks,Letters_sent_LA,%,0.06426735218508,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Two to three weeks,Letters_sent_LA,Number,81,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Two to three weeks,Letters_sent_LA,%,0.74366507528461,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Within two weeks,Letters_sent_LA,Number,10804,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Within two weeks,Letters_sent_LA,%,99.1920675725303,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EF,Stockton-on-Tees,E06000004,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Over three weeks,Letters_sent_LA,Number,4,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Over three weeks,Letters_sent_LA,%,0.06565988181221,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Two to three weeks,Letters_sent_LA,Number,49,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Two to three weeks,Letters_sent_LA,%,0.8043335521996,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Within two weeks,Letters_sent_LA,Number,6039,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Within two weeks,Letters_sent_LA,%,99.1300065659882,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EH,Darlington,E06000005,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Over three weeks,Letters_sent_LA,Number,17,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Over three weeks,Letters_sent_LA,%,0.05830903790087,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Two to three weeks,Letters_sent_LA,Number,208,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Two to three weeks,Letters_sent_LA,%,0.71342822843423,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
