Table_ref,Collection_Year,Unit,Indicator,Value
1a,2016,%,Coverage_<3.5yrs_45to49,73.991605252204800000
1a,2016,%,Coverage_<3.5yrs_50to54,68.958301102155900000
1a,2016,%,Coverage_<3.5yrs_55to59,50.982072539065700000
1a,2016,%,Coverage_<3.5yrs_60to64,45.146956466590300000
1a,2016,%,Coverage_<3.5yrs_65to69,15.295322968050000000
1a,2016,%,Coverage_<3.5yrs_70to74,1.048712182288790000
1a,2016,%,Coverage_<3.5yrs_75_and_over,0.159248212085267000
1a,2016,%,Coverage_<3.5yrs_<20,0.007013184942166710
1a,2016,%,Coverage_<5yrs_20to24,3.020963881378960000
1a,2016,%,Coverage_<5yrs_25to29,66.169839352687600000
1a,2016,%,Coverage_<5yrs_25to64,76.512346632534400000
1a,2016,%,Coverage_<5yrs_30to34,77.082483246660700000
1a,2016,%,Coverage_<5yrs_35to39,79.725122500442800000
1a,2016,%,Coverage_<5yrs_40to44,81.278177411072500000
1a,2016,%,Coverage_<5yrs_45to49,81.481391366289700000
1a,2016,%,Coverage_<5yrs_50to54,80.223350442507900000
1a,2016,%,Coverage_<5yrs_50to64,75.678064848756300000
1a,2016,%,Coverage_<5yrs_55to59,73.971821001798000000
1a,2016,%,Coverage_<5yrs_60to64,71.074731804749500000
1a,2016,%,Coverage_<5yrs_65to69,36.820766907668800000
1a,2016,%,Coverage_<5yrs_70to74,3.068485594263160000
1a,2016,%,Coverage_<5yrs_75_and_over,0.353460090057927000
1a,2016,%,Coverage_<5yrs_<20,0.007152212837496010
1a,2017,%,Coverage_<3.5yrs_20to24,2.337279239331290000
1a,2017,%,Coverage_<3.5yrs_25to29,62.145468308753200000
1a,2017,%,Coverage_<3.5yrs_25to49,69.699250072660800000
1a,2017,%,Coverage_<3.5yrs_25to64,65.422880188449800000
1a,2017,%,Coverage_<3.5yrs_30to34,68.947530018611100000
1a,2017,%,Coverage_<3.5yrs_35to39,71.346706763250700000
1a,2017,%,Coverage_<3.5yrs_40to44,73.347597642460500000
1a,2017,%,Coverage_<3.5yrs_45to49,73.794669290964900000
1a,2017,%,Coverage_<3.5yrs_50to54,68.645044345874200000
1a,2017,%,Coverage_<3.5yrs_55to59,50.834003560143200000
1a,2017,%,Coverage_<3.5yrs_60to64,45.328186777145100000
1a,2017,%,Coverage_<3.5yrs_65to69,16.340523735162700000
1a,2017,%,Coverage_<3.5yrs_70to74,0.859792922839221000
1a,2017,%,Coverage_<3.5yrs_75_and_over,0.122373377546844000
1a,2017,%,Coverage_<3.5yrs_<20,0.005224824504886590
1a,2017,%,Coverage_<5yrs_20to24,2.478897559077130000
1a,2017,%,Coverage_<5yrs_25to29,65.193041931264000000
1a,2017,%,Coverage_<5yrs_25to64,75.459884663533000000
1a,2017,%,Coverage_<5yrs_30to34,76.202870072082400000
1a,2017,%,Coverage_<5yrs_35to39,78.690426601916100000
1a,2017,%,Coverage_<5yrs_40to44,80.286757984803900000
1a,2017,%,Coverage_<5yrs_45to49,80.567556080965400000
1a,2017,%,Coverage_<5yrs_50to54,79.253591512004600000
1a,2017,%,Coverage_<5yrs_50to64,74.493576397166700000
1a,2017,%,Coverage_<5yrs_55to59,72.713446592134900000
1a,2017,%,Coverage_<5yrs_60to64,69.740735847035600000
1a,2017,%,Coverage_<5yrs_65to69,32.892232348387500000
1a,2017,%,Coverage_<5yrs_70to74,2.208369571026690000
1a,2017,%,Coverage_<5yrs_75_and_over,0.275085733049368000
1a,2017,%,Coverage_<5yrs_<20,0.005286112768873530
1a,2018,%,Coverage_<3.5yrs_20to24,2.080132593125630000
1a,2018,%,Coverage_<3.5yrs_25to29,61.110322213891300000
1a,2018,%,Coverage_<3.5yrs_25to49,69.175741485714600000
1a,2018,%,Coverage_<3.5yrs_25to64,64.730657517487100000
1a,2018,%,Coverage_<3.5yrs_30to34,68.757827197546000000
1a,2018,%,Coverage_<3.5yrs_35to39,70.984158458563300000
1a,2018,%,Coverage_<3.5yrs_40to44,72.870922797806900000
1a,2018,%,Coverage_<3.5yrs_45to49,73.325904347146800000
1a,2018,%,Coverage_<3.5yrs_50to54,67.304862036166100000
1a,2018,%,Coverage_<3.5yrs_55to59,49.835400377048300000
1a,2018,%,Coverage_<3.5yrs_60to64,45.517920831232000000
