Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
9a,2019-20,F,West Midlands,00CS,E08000028,Sandwell,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,9965
9a,2019-20,F,West Midlands,00CS,E08000028,Sandwell,Number,EDD_WITHIN_14_DAYS_25to64,3126
9a,2019-20,F,West Midlands,00GG,E06000051,Shropshire,Number,EDD_IN_15_TO_21_DAYS_25to64,1864
9a,2019-20,F,West Midlands,00GG,E06000051,Shropshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,14135
9a,2019-20,F,West Midlands,00GG,E06000051,Shropshire,Number,EDD_WITHIN_14_DAYS_25to64,368
9a,2019-20,F,West Midlands,00CT,E08000029,Solihull,Number,EDD_IN_15_TO_21_DAYS_25to64,1009
9a,2019-20,F,West Midlands,00CT,E08000029,Solihull,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,11827
9a,2019-20,F,West Midlands,00CT,E08000029,Solihull,Number,EDD_WITHIN_14_DAYS_25to64,270
9a,2019-20,F,West Midlands,41,E10000028,Staffordshire,Number,EDD_IN_15_TO_21_DAYS_25to64,11323
9a,2019-20,F,West Midlands,41,E10000028,Staffordshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,32633
9a,2019-20,F,West Midlands,41,E10000028,Staffordshire,Number,EDD_WITHIN_14_DAYS_25to64,2322
9a,2019-20,F,West Midlands,00GL,E06000021,Stoke-on-Trent,Number,EDD_IN_15_TO_21_DAYS_25to64,1609
9a,2019-20,F,West Midlands,00GL,E06000021,Stoke-on-Trent,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,12371
9a,2019-20,F,West Midlands,00GL,E06000021,Stoke-on-Trent,Number,EDD_WITHIN_14_DAYS_25to64,163
9a,2019-20,F,West Midlands,00GF,E06000020,Telford and Wrekin,Number,EDD_IN_15_TO_21_DAYS_25to64,1097
9a,2019-20,F,West Midlands,00GF,E06000020,Telford and Wrekin,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8727
9a,2019-20,F,West Midlands,00GF,E06000020,Telford and Wrekin,Number,EDD_WITHIN_14_DAYS_25to64,188
9a,2019-20,F,West Midlands,00CU,E08000030,Walsall,Number,EDD_IN_15_TO_21_DAYS_25to64,3788
9a,2019-20,F,West Midlands,00CU,E08000030,Walsall,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8226
9a,2019-20,F,West Midlands,00CU,E08000030,Walsall,Number,EDD_WITHIN_14_DAYS_25to64,2416
9a,2019-20,F,West Midlands,44,E10000031,Warwickshire,Number,EDD_IN_15_TO_21_DAYS_25to64,3622
9a,2019-20,F,West Midlands,44,E10000031,Warwickshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,27005
9a,2019-20,F,West Midlands,44,E10000031,Warwickshire,Number,EDD_WITHIN_14_DAYS_25to64,4858
9a,2019-20,F,West Midlands,00CW,E08000031,Wolverhampton,Number,EDD_IN_15_TO_21_DAYS_25to64,3687
9a,2019-20,F,West Midlands,00CW,E08000031,Wolverhampton,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,7453
9a,2019-20,F,West Midlands,00CW,E08000031,Wolverhampton,Number,EDD_WITHIN_14_DAYS_25to64,2909
9a,2019-20,F,West Midlands,47,E10000034,Worcestershire,Number,EDD_IN_15_TO_21_DAYS_25to64,3283
9a,2019-20,F,West Midlands,47,E10000034,Worcestershire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,8945
9a,2019-20,F,West Midlands,47,E10000034,Worcestershire,Number,EDD_WITHIN_14_DAYS_25to64,18267
9a,2019-20,G,East of England,00KB,E06000055,Bedford,Number,EDD_IN_15_TO_21_DAYS_25to64,1650
9a,2019-20,G,East of England,00KB,E06000055,Bedford,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,5034
9a,2019-20,G,East of England,00KB,E06000055,Bedford,Number,EDD_WITHIN_14_DAYS_25to64,4195
9a,2019-20,G,East of England,12,E10000003,Cambridgeshire,Number,EDD_IN_15_TO_21_DAYS_25to64,5717
9a,2019-20,G,East of England,12,E10000003,Cambridgeshire,Number,EDD_IN_AT_LEAST_22_DAYS_25to64,5213
9a,2019-20,G,East of England,12,E10000003,Cambridgeshire,Number,EDD_WITHIN_14_DAYS_25to64,28351
9a,2019-20,G,East of England,00KC,E06000056,Central Bedfordshire,Number,EDD_IN_15_TO_21_DAYS_25to64,2253
