Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_ONS_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
13,2018-19,B,E12000002,North West,00BT,E08000008,Tameside,%,Coverage_5andhalfyears__50-64,74.88181997242470000000
13,2018-19,B,E12000002,North West,00BT,E08000008,Tameside,%,Coverage_in_period__25-64,73.20032264967820000000
13,2018-19,B,E12000002,North West,00BT,E08000008,Tameside,Number,Eligible__25-49,40439
13,2018-19,B,E12000002,North West,00BT,E08000008,Tameside,Number,Eligible__25-64,60747
13,2018-19,B,E12000002,North West,00BT,E08000008,Tameside,Number,Eligible__50-64,20308
13,2018-19,B,E12000002,North West,00BU,E08000009,Trafford,%,Coverage_3andhalfyears__25-49,74.66902030008830000000
13,2018-19,B,E12000002,North West,00BU,E08000009,Trafford,%,Coverage_5andhalfyears__50-64,78.65773766195950000000
13,2018-19,B,E12000002,North West,00BU,E08000009,Trafford,%,Coverage_in_period__25-64,75.93758681359390000000
13,2018-19,B,E12000002,North West,00BU,E08000009,Trafford,Number,Eligible__25-49,44187
13,2018-19,B,E12000002,North West,00BU,E08000009,Trafford,Number,Eligible__25-64,64794
13,2018-19,B,E12000002,North West,00BU,E08000009,Trafford,Number,Eligible__50-64,20607
13,2018-19,B,E12000002,North West,00BW,E08000010,Wigan,%,Coverage_3andhalfyears__25-49,75.56328078524690000000
13,2018-19,B,E12000002,North West,00BW,E08000010,Wigan,%,Coverage_5andhalfyears__50-64,75.87719298245610000000
13,2018-19,B,E12000002,North West,00BW,E08000010,Wigan,%,Coverage_in_period__25-64,75.67027742378200000000
13,2018-19,B,E12000002,North West,00BW,E08000010,Wigan,Number,Eligible__25-49,53792
13,2018-19,B,E12000002,North West,00BW,E08000010,Wigan,Number,Eligible__25-64,81608
13,2018-19,B,E12000002,North West,00BW,E08000010,Wigan,Number,Eligible__50-64,27816
