Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
16a,2019-20,R1,North East,60050,University Hospital of North Durham,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R1,North East,60050,University Hospital of North Durham,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R1,North East,60050,University Hospital of North Durham,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,Number,Total_samples_All_Ages,181544
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,0-2_Weeks_All_Ages,83.4387255982021000000
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,3-4_Weeks_All_Ages,7.7039175076014600000
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,5-6_Weeks_All_Ages,2.9744855241704500000
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,7-8_Weeks_All_Ages,5.8206275062794700000
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,9-10_Weeks_All_Ages,0.0088132904419865200
16a,2019-20,R1,North East,60080,Queen Elizabeth Hospital,%,Over10_Weeks_All_Ages,0.0534305733045433000
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,Number,Total_samples_All_Ages,25144
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,0-2_Weeks_All_Ages,12.0147947820554000000
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,3-4_Weeks_All_Ages,12.1778555520204000000
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,5-6_Weeks_All_Ages,63.9635698377346000000
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,7-8_Weeks_All_Ages,10.2290804963411000000
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,9-10_Weeks_All_Ages,1.0141584473433000000
16a,2019-20,R1,North East,60103,Royal Victoria Infirmary,%,Over10_Weeks_All_Ages,0.6005408845052500000
16a,2019-20,R1,North East,60110,University Hospital of North Tees,Number,Total_samples_All_Ages,19883
16a,2019-20,R1,North East,60110,University Hospital of North Tees,%,0-2_Weeks_All_Ages,33.2847155861791000000
16a,2019-20,R1,North East,60110,University Hospital of North Tees,%,3-4_Weeks_All_Ages,66.5392546396419000000
16a,2019-20,R1,North East,60110,University Hospital of North Tees,%,5-6_Weeks_All_Ages,0.1760297741789470000
